"repo","size"
"workshop-template",5206016
"instructor-training",61605888
"amy",19857408
"styles",2968576
"lesson-example",98063360
"bridge",4096
"training-template",4682752
"instructor-development",1986560
"trainers",955392
"membership",0
"conversations",34816
"mentoring-program",278528
"policies",11264
"undergrad-education-conversations",5120
"carpentrycon",235401216
"presentations",242688
"2017Merger",30720
"latinoamerica",259072
"commons",5555200
"workshop_administrators",560128
"equity-and-inclusion",16098304
"community-cookbook",159744
"maintainer-onboarding",4743168
"docs.carpentries.org",9583616
"carpentries.org-DEPRECIATED",9591808
"logo",902144
"curriculum-development",3208192
"lesson-infrastructure",47104
"styles-es",2616320
"workshop-template-es",3132416
"bug-bbq",149504
"2018-04-bug-bbq",504832
"trainer-training",3187712
"2018-r-consortium-lessondown-proposal",31744
"champions",7168
"carpentries.org",367995904
"scipy2018-ttt",1428480
"executive-council-info",382976
"membershipdb",525312
"feeds.carpentries.org",318464
"african-task-force",25147392
"2018_Bylaws",64512
"community-service-awards",2048
"carpentries-theme",3825664
"curriculum-feed",18432
"instructor-feedback",104605696
"assessment",344982528
"coc-guidelines-taskforce",4096
"task-forces",2172928
"cooking-carpentry",18191360
"maintainer-RFCs",0
".github",7168
"assessment-archives",701440
"cubby",1024
"lesson-docker",40960
"emailmigration",36864
"scaffolds",8030208
"strategic-plan",27648
"instructor-training-bonus-modules",5030912
"pegboard",47994880
"glosario",5190656
"dovetail",444416
"glosario-py",559104
"glosario-r",886784
"sandpaper",9144320
"varnish",3579904
"community-facilitators-program",4848640
"carpentries.github.io",1024
"learner-certificates",103424
"maintainer-resources",84992
"actions",1613824
"maintainers",29696
"drat",133721088
"sandpaper-docs",6498304
"community-development",183296
"universe",15360
"the-carpentries-lessons-learned",462848
"2021_IT_report",1037312
"lesson-transition",1542144
"2022_Bylaw_revision",19456
"lesson-development-training",25669632
"workbench-template-rmd",2726912
"workbench-template-md",2312192
"workbench",2418688
"beta.carpentries.org",15017984
"understood-recommendations",17408
"handbook-beta",4115456
"pointers",286720
"crispy-doodle",7858176
"chisel",263168
"committees",19456
"docs.carpentries.org-1",9101312
"github-skill-up-maintainers",1804288
"create-pull-request",28294144
